model,experiment,task_id,pair_id,criterion_id,language,variant,expected,planned,valid,passes,pass_fraction
qwen3:1.7b,matched_response,1172,1172-complete,1,en,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,1,es,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,2,en,complete,1,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,2,es,complete,1,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,3,en,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,3,es,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,4,en,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,4,es,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,5,en,complete,1,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,5,es,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,6,en,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-complete,6,es,complete,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,1,en,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,1,es,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,2,en,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,2,es,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,3,en,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,3,es,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,4,en,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,4,es,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,5,en,missing_risk,0,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,5,es,missing_risk,0,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,6,en,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,6,es,missing_risk,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,1,en,wrong_sam,1,3,3,3,1.0
