model,task_id,criterion_id,state,language,grading_language,wording,expected,valid,planned,passes,pass_fraction,majority,errors,unstable,within_disagreement
qwen3:4b,1122,1,correct,en,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,en,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,en,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,en,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,es,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,es,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,es,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,correct,es,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,1122,1,incorrect,en,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,en,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,en,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,en,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,es,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,es,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,es,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,1122,1,incorrect,es,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,correct,en,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,en,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,en,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,en,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,es,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,es,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,es,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,correct,es,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,145,2,incorrect,en,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,en,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,en,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,en,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,es,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,es,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,es,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,145,2,incorrect,es,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,correct,en,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,en,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,en,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,en,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,es,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,es,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,es,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,correct,es,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,1,incorrect,en,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,en,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,en,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,en,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,es,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,es,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,es,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,1,incorrect,es,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,correct,en,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,en,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,en,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,en,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,es,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,es,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,es,es,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,correct,es,es,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,2,incorrect,en,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,en,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,en,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,en,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,es,en,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,es,en,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,es,es,original,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,2,incorrect,es,es,paraphrase,0,3,3,0,0.0,0,0,False,0.0
qwen3:4b,2287,3,correct,en,en,original,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,3,correct,en,en,paraphrase,1,3,3,3,1.0,1,0,False,0.0
qwen3:4b,2287,3,correct,en,es,original,1,3,3,3,1.0,1,0,False,0.0
