model,experiment,task_id,pair_id,criterion_id,language,other_minus_en,cross_language_disagreement,within_en_disagreement,within_other_disagreement
qwen3:1.7b,matched_response,1172,1172-complete,1,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,2,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,3,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,4,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,5,es,1.0,1.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-complete,6,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,1,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,2,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,3,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,4,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,5,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-missing_risk,6,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,1,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,2,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,3,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,4,es,0.0,0.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,5,es,1.0,1.0,0.0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,6,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-nominal,2,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-nominal,2,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-outside,2,es,1.0,1.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-outside,2,pt,1.0,1.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-far_error,4,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-far_error,4,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-near_error,4,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-near_error,4,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-nominal,4,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-nominal,4,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-nominal,1,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-nominal,1,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-outside,1,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-outside,1,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-nominal,10,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-nominal,10,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-outside,10,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-outside,10,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-nominal,5,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-nominal,5,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-outside,5,es,-1.0,1.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-outside,5,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-nominal,6,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-nominal,6,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-outside,6,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-outside,6,pt,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,es,0.0,0.0,0.0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,pt,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-complete,1,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-complete,2,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-complete,3,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-complete,4,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-complete,5,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-complete,6,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,1,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,2,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,3,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,4,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,5,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,6,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,1,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,2,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,3,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,4,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,5,es,0.0,0.0,0.0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,6,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-nominal,2,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-nominal,2,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-outside,2,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-outside,2,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-far_error,4,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-far_error,4,pt,-1.0,1.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-near_error,4,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-near_error,4,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-nominal,4,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-nominal,4,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-nominal,1,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-nominal,1,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-outside,1,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-outside,1,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,es,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
qwen3:4b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,pt,1.0,1.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-nominal,10,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-nominal,10,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-outside,10,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-outside,10,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-nominal,5,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-nominal,5,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-outside,5,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-outside,5,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-nominal,6,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-nominal,6,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-outside,6,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-outside,6,pt,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,es,0.0,0.0,0.0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,pt,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-complete,1,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-complete,2,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-complete,3,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-complete,4,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-complete,5,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-complete,6,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,1,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,2,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,3,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,4,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,5,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,6,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,1,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,2,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,3,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,4,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,5,es,0.0,0.0,0.0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,6,es,0.0,0.0,0.0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-nominal,2,es,0.0,0.0,0.0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-nominal,2,pt,0.0,0.0,0.0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-outside,2,es,0.0,0.0,0.0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-outside,2,pt,0.0,0.0,0.0,0.0
