task_id,domain,criterion_id,criterion_type_normalized,weight,dependent_criteria,descendant_count,direct_score_pp,structural_exposure_pp,description
13,Legal,1,Style,Primary objective(s),[],0,10.0,10.0,"Drafts the response in the format of a legal opinion or memorandum, which includes at least three of the following: a factual summary, analysis, conclusion, references to relevant statutory and legal authority."
13,Legal,2,Extraction (recall),Primary objective(s),[],0,10.0,10.0,Identifies the jurisdiction for the legal analysis as the State of Florida.
13,Legal,3,Reasoning,Primary objective(s),[],4,10.0,50.0,Explains that diminution of value claims are recognized in the State of Florida.
13,Legal,4,Reasoning,Primary objective(s),[3],0,10.0,10.0,"Specifically addresses whether diminution of value applies to 1st party claims, 3rd party claims, or both."
13,Legal,5,Reasoning,Primary objective(s),[3],0,10.0,10.0,States that diminution of value is generally NOT recoverable in a first-party claim in Florida.
13,Legal,6,Reasoning,Primary objective(s),[3],0,10.0,10.0,States that diminution of value is recoverable in a third-party claim in Florida.
13,Legal,7,Reasoning,Primary objective(s),[3],0,10.0,10.0,List the elements required to prove diminution of value in Florida.
13,Legal,8,Reasoning,Primary objective(s),[],0,10.0,10.0,Identifies Mr. Jones' claim against XYZ Insurance as a third-party claim.
13,Legal,9,Extraction (recall) + Reasoning,Primary objective(s),[],1,10.0,20.0,Correctly identifies that Mr. Jones' vehicle is a total loss (it is acceptable to state 'likely' or 'pending' based on the available estimate).
13,Legal,10,Reasoning,Primary objective(s),[9],0,10.0,10.0,"States that diminution of value is not applicable if the vehicle is determined to be a total loss under § 319.30 and that, in such case, settlement follows § 626.9743(5); if not a total loss, DV analysis may apply."
845,Legal,1,Extraction (recall) + Reasoning,Primary objective(s),[],1,12.5,25.0,Identify Libby's claim against The Roamers for negligence as related to premises liability.
845,Legal,2,Extraction (recall) + Reasoning,Primary objective(s),[1],0,12.5,12.5,Conclude that Libby will fail on her negligence claim.
845,Legal,3,Extraction (recall) + Reasoning,Primary objective(s),[],3,12.5,50.0,Identify Libby's claim against The Roamers for public disclosure of private facts.
845,Legal,4,Extraction (recall) + Reasoning,Primary objective(s),[3],1,12.5,25.0,Identify Libby's consent to disclosure as a bar to the public disclosure of private facts claim.
845,Legal,5,Extraction (recall) + Reasoning,Not primary objective,[3],1,12.5,25.0,Identify that The Roamers can defend against the public disclosure of private facts claim because Libby is a public figure.
845,Legal,6,Extraction (recall) + Reasoning,Primary objective(s),"[4, 5]",0,12.5,12.5,Conclude that Libby will likely fail on her public disclosure of private facts claim.
845,Legal,7,Extraction (recall) + Reasoning,Primary objective(s),[],1,12.5,25.0,Identify Libby's claim for intentional infliction of emotional distress.
845,Legal,8,Extraction (recall) + Reasoning,Primary objective(s),[7],0,12.5,12.5,Conclude that Libby will likely fail on her claim of intentional infliction of emotional distress.
942,Legal,1,Extraction (recall),Primary objective(s),[],1,14.285714285714286,28.571428571428573,States the California Penal Code section 288 prohibits lewd or lascivious acts.
942,Legal,2,Extraction (recall),Primary objective(s),[],2,14.285714285714286,42.857142857142854,States that California Penal Code section 288(c)(1) applies only when the perpetrator is at least 10 years older than the victim.
942,Legal,3,Reasoning,Primary objective(s),[],2,14.285714285714286,42.857142857142854,Calculates that Ms. Rothschild is not at least 10 years older than Jontae.
942,Legal,4,Reasoning,Primary objective(s),"[2, 3]",1,14.285714285714286,28.571428571428573,Concludes that there was no evidence establishing the requisite 10+ year age difference required under PC 288(c)(1).
942,Legal,5,Reasoning,Primary objective(s),"[1, 7, 4]",0,14.285714285714286,14.285714285714286,Concludes there is a very high likelihood Ms. Rothschild's appeal will be granted.
942,Legal,6,Style,Not primary objective,[],0,14.285714285714286,14.285714285714286,"Formats the response as a client advisement letter that includes at least three of the following: a question presented identifying the legal issue, a brief answer identifying an answer to the legal issue, a fact section, a discussion section where the legal issue is analyzed, or a conclusion summarizing the legal analysis."
942,Legal,7,Extraction (recall),Primary objective(s),[],1,14.285714285714286,28.571428571428573,"States that on an appeal of a criminal conviction for insufficiency of evidence, the standard of review is whether there is substantial evidence to support the conviction."
1022,Legal,1,Style,Not primary objective,[],0,6.25,6.25,"Formats the response as a legal memorandum that includes at least three of the following: a question presented identifying the legal issue, a brief answer identifying an answer to the legal issue, a fact section, a discussion section where the legal issue is analyzed, and a conclusion summarizing the legal analysis."
1022,Legal,2,Extraction (recall),Primary objective(s),[],1,6.25,12.5,Identifies that Florida law applies.
1022,Legal,3,Extraction (recall),Not primary objective,[],1,6.25,12.5,Identifies that video footage may be admitted under the 'pictorial theory' if it fairly and accurately depicts what a witness personally observed.
1022,Legal,4,Extraction (recall),Not primary objective,[],1,6.25,12.5,Identifies that video footage may be admissible under the 'silent witness theory' if the video is determined to be reliable.
1022,Legal,5,Extraction (recall),Not primary objective,[],6,6.25,43.75,Identifies that the Court considers five factors in determining if the video is reliable under the 'silent witness' theory.
1022,Legal,6,Reasoning,Not primary objective,[5],1,6.25,12.5,Identifies factor 1 (time/date accuracy) under the silent witness test and reaches a defended conclusion.
1022,Legal,7,Reasoning,Not primary objective,[5],1,6.25,12.5,Identifies factor 2 (no editing/tampering) on these facts and reaches a defended conclusion.
1022,Legal,8,Reasoning,Not primary objective,[5],1,6.25,12.5,Identifies factor 3 (installation/operation accuracy) on these facts and reaches a defended conclusion.
1022,Legal,9,Reasoning,Not primary objective,[5],1,6.25,12.5,Identifies factor 4 (procedures/security; chain of custody/system integrity) on these facts and reaches a defended conclusion.
1022,Legal,10,Reasoning,Not primary objective,[5],1,6.25,12.5,Identifies factor 5 (clear depiction of persons/events) on these facts and reaches a defended conclusion.
1022,Legal,11,Reasoning,Not primary objective,[3],0,6.25,6.25,Identifies pictorial-testimony foundation on these facts and reaches a defended conclusion.
1022,Legal,12,Reasoning,Primary objective(s),"[4, 5, 6, 7, 8, 9, 10]",0,6.25,6.25,Identifies admissibility under the silent-witness doctrine on these facts and reaches a defended conclusion.
1022,Legal,13,Extraction (recall),Not primary objective,[2],0,6.25,6.25,"States Florida's lay-opinion identification rule, based on the witness's perceptions, is helpful to the jury."
1022,Legal,14,Reasoning,Primary objective(s),[],0,6.25,6.25,Identifies admissibility of law identification by a non-eyewitness whose familiarity derives from an employee photo.
1022,Legal,15,Extraction (recall),Not primary objective,[],0,6.25,6.25,States that testifying to the contents of a business record is hearsay unless the record is admitted.
1022,Legal,16,Reasoning,Primary objective(s),[],0,6.25,6.25,Identifies whether the timesheet/register-log testimony is inadmissible hearsay absent a proper Section 90.903(6) foundation.
1031,Legal,1,Extraction (recall),Primary objective(s),[],1,12.5,25.0,States that a denial of a pretrial motion is a non-jurisdictional defect that is waived by an unconditional guilty plea.
1031,Legal,2,Extraction (recall) + Reasoning,Primary objective(s),[1],0,12.5,12.5,Identifies that the defendant waived his right to appeal the denial of his suppression motion by entering an unconditional plea agreement.
1031,Legal,3,Extraction (recall) + Reasoning,Primary objective(s),[],0,12.5,12.5,Identifies that the First Circuit has jurisdiction over the case.
1031,Legal,4,Extraction (recall) + Reasoning,Primary objective(s),[],1,12.5,25.0,"Identifies that a majority of the United States Court of Appeals circuit courts have held that if the government does not timely invoke a defendant's waiver of appeal due to an unconditional guilty plea, the appellate court can assert jurisdiction."
1031,Legal,5,Extraction (recall),Primary objective(s),[],0,12.5,12.5,States that the First Circuit has not addressed the issue of whether appellate courts must raise a defendant's waiver sua sponte where an unconditional guilty plea would otherwise preclude appellate review.
1031,Legal,6,Extraction (recall) + Reasoning,Primary objective(s),[8],0,12.5,12.5,"Concludes that if the First Circuit adopts the precedent set by the Seventh Circuit, the First Circuit would not have jurisdiction."
1031,Legal,7,Extraction (recall) + Reasoning,Primary objective(s),[4],0,12.5,12.5,"Concludes that if the First Circuit adopts the precedent set by the majority of the circuit courts, the First Circuit would have jurisdiction."
1031,Legal,8,Extraction (recall),Primary objective(s),[],1,12.5,25.0,Identifies that the Seventh Circuit court enforces unconditional guilty pleas on the court's own initiative.
1041,Legal,1,Extraction (recall),Not primary objective,[],0,7.6923076923076925,7.6923076923076925,States that John was a member of the Navajo Nation.
1041,Legal,2,Extraction (recall),Not primary objective,[],0,7.6923076923076925,7.6923076923076925,States that John died while domiciled on the reservation.
1041,Legal,3,Extraction (recall) + Reasoning,Primary objective(s),[],0,7.6923076923076925,7.6923076923076925,States that the Navajo courts have authority to govern tribal affairs.
1041,Legal,4,Extraction (recall) + Reasoning,Primary objective(s),[],0,7.6923076923076925,7.6923076923076925,States that probate is a tribal affair subject to tribal governance.
1041,Legal,5,Extraction (recall) + Reasoning,Primary objective(s),[],0,7.6923076923076925,7.6923076923076925,States that John's property is under Navajo jurisdiction.
1041,Legal,6,Extraction (recall),Primary objective(s),[],1,7.6923076923076925,15.384615384615385,"States that under Navajo Tribal Law, oral wills are accepted as valid if all immediate family members are present during the oral distribution and agree to honor the testator's wishes."
1041,Legal,7,Extraction (recall),Primary objective(s),[],1,7.6923076923076925,15.384615384615385,"States that under Navajo Tribal Law, oral wills are accepted as valid if all immediate family members agree to honor the testator's wishes."
1041,Legal,8,Extraction (recall) + Reasoning,Primary objective(s),"[6, 7]",0,7.6923076923076925,7.6923076923076925,Concludes that the Navajo oral will conditions are met.
1041,Legal,9,Extraction (recall) + Reasoning,Primary objective(s),[],4,7.6923076923076925,38.46153846153846,States that the oral will replaced the previously made holographic will that left property to Kevin.
1041,Legal,10,Extraction (recall) + Reasoning,Primary objective(s),[9],0,7.6923076923076925,7.6923076923076925,States that Kevin would not be entitled to any property.
