model,kind,task_id,criterion_id,language,grading_language,wording,before,after,changed,detected,reversed,repaired,regressed,pass_fraction_change,fraction_changed,absolute_error_change,state
qwen3:4b,content,1122,1,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,1122,1,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,145,2,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,1,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,2,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,3,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,content,2287,5,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
qwen3:4b,paraphrase,1122,1,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,1122,1,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,1122,1,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,1122,1,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,1122,1,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,1122,1,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,1122,1,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,1122,1,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,145,2,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,145,2,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,145,2,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,145,2,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,145,2,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,145,2,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,145,2,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
